date_time;site_name;posa_continent;user_location_country;user_location_region;user_location_city;orig_destination_distance;user_id;is_mobile;is_package;channel;srch_ci;srch_co;srch_adults_cnt;srch_children_cnt;srch_rm_cnt;srch_destination_id;srch_destination_type_id;is_booking;cnt;hotel_continent;hotel_country;hotel_market;hotel_cluster;before_ch;stay;month_ch;weekday_ch;month;weekday;quarter;day
2013-01-07 05:41:35;2;3;66;331;2428;477.1799;191940;0;0;0;2013-01-17 00:00:00;2013-01-20 00:00:00;6;0;3;34306;4;1;1;2;50;1169;85;9.0;3.0;1.0;3.0;1;0;1;7
2013-01-07 05:52:38;11;3;205;354;41495;809.2206;562388;0;0;9;2013-01-14 00:00:00;2013-01-18 00:00:00;1;0;1;26166;6;1;1;2;198;372;41;6.0;4.0;1.0;0.0;1;0;1;7
2013-01-07 06:49:02;2;3;66;435;38090;4787.6081;590837;0;0;9;2013-01-11 00:00:00;2013-01-12 00:00:00;4;0;2;8785;1;1;1;6;105;35;99;3.0;1.0;1.0;4.0;1;0;1;7
2013-01-07 08:05:13;34;3;205;354;50386;351.9288;975953;0;0;5;2013-01-11 00:00:00;2013-01-12 00:00:00;1;0;1;8267;1;1;1;2;50;675;93;3.0;1.0;1.0;4.0;1;0;1;7
2013-01-07 08:15:21;2;3;66;153;27462;730.9924;666715;0;0;1;2013-01-09 00:00:00;2013-01-10 00:00:00;1;0;1;8;1;1;1;2;50;416;48;1.0;1.0;1.0;2.0;1;0;1;7
2013-01-07 08:25:21;2;3;66;153;27462;1267.99;666715;0;0;1;2013-01-10 00:00:00;2013-01-11 00:00:00;1;0;1;8258;1;1;1;2;50;645;21;2.0;1.0;1.0;3.0;1;0;1;7
2013-01-07 09:04:54;2;3;66;184;2037;689.2479;328094;0;1;1;2013-02-23 00:00:00;2013-02-25 00:00:00;1;0;1;8261;1;1;1;2;50;646;18;46.0;2.0;2.0;5.0;1;0;1;7
2013-01-07 09:15:46;2;3;66;348;48862;1629.919;854284;0;0;9;2013-01-15 00:00:00;2013-01-16 00:00:00;4;0;4;8236;1;1;1;2;50;656;95;7.0;1.0;1.0;1.0;1;0;1;7
2013-01-07 11:01:31;2;3;66;356;22202;759.973;424175;0;1;4;2013-02-28 00:00:00;2013-03-03 00:00:00;2;0;1;8250;1;1;1;2;50;628;45;51.0;3.0;2.0;3.0;1;0;1;7
2013-01-07 11:24:10;11;3;205;385;13813;;351456;0;0;9;2013-07-26 00:00:00;2013-07-27 00:00:00;2;1;1;43800;4;1;1;2;50;857;48;199.0;1.0;7.0;4.0;1;0;1;7
2013-01-07 11:49:12;2;3;66;467;39377;465.0193;204970;0;0;2;2013-01-15 00:00:00;2013-01-16 00:00:00;2;0;2;12387;5;1;1;2;50;447;6;7.0;1.0;1.0;1.0;1;0;1;7
2013-01-07 11:49:45;2;3;66;258;4687;2061.0816;410976;0;0;9;2013-02-27 00:00:00;2013-03-04 00:00:00;1;1;1;9064;3;1;1;4;51;1509;0;50.0;5.0;2.0;2.0;1;0;1;7
2013-01-07 12:17:19;2;3;66;220;12647;1048.9515;614613;0;1;9;2013-01-23 00:00:00;2013-01-26 00:00:00;1;0;1;12615;5;1;1;2;50;675;55;15.0;3.0;1.0;2.0;1;0;1;7
2013-01-07 12:48:54;2;3;66;337;12237;;519333;0;0;9;2013-01-30 00:00:00;2013-01-31 00:00:00;1;0;1;22169;6;1;1;6;31;155;36;22.0;1.0;1.0;2.0;1;0;1;7
2013-01-07 12:51:46;2;3;66;337;12237;;519333;0;0;9;2013-02-04 00:00:00;2013-02-05 00:00:00;2;0;1;22169;6;1;1;6;31;155;36;27.0;1.0;2.0;0.0;1;0;1;7
2013-01-07 12:55:15;2;3;66;337;12237;;519333;0;0;9;2013-02-03 00:00:00;2013-02-04 00:00:00;2;0;1;26780;6;1;1;6;70;1913;43;26.0;1.0;2.0;6.0;1;0;1;7
2013-01-07 13:28:04;2;3;66;220;5686;5642.8138;902903;1;1;9;2013-01-21 00:00:00;2013-01-22 00:00:00;2;0;1;11917;1;1;1;0;140;59;73;13.0;1.0;1.0;0.0;1;0;1;7
2013-01-07 14:22:41;37;1;69;998;21707;;444939;0;0;1;2013-01-24 00:00:00;2013-01-25 00:00:00;2;0;2;8739;1;1;1;6;144;4;29;16.0;1.0;1.0;3.0;1;0;1;7
2013-01-07 14:49:20;11;3;205;411;27098;107.6885;627000;0;0;9;2013-01-24 00:00:00;2013-01-25 00:00:00;2;0;1;1865;3;1;1;2;198;392;16;16.0;1.0;1.0;3.0;1;0;1;7
2013-01-07 15:45:43;37;1;69;749;51392;;71855;0;1;9;2013-05-04 00:00:00;2013-05-08 00:00:00;2;0;1;8746;1;1;1;6;105;29;64;116.0;4.0;5.0;5.0;1;0;1;7
2013-01-07 15:55:57;37;1;69;567;12909;;752955;0;0;1;2013-01-23 00:00:00;2013-01-27 00:00:00;2;0;1;52476;6;1;1;6;105;29;36;15.0;4.0;1.0;2.0;1;0;1;7
2013-01-07 16:06:02;2;3;66;462;49272;2100.2706;868541;0;0;0;2013-02-04 00:00:00;2013-02-15 00:00:00;2;0;1;8810;1;1;1;4;8;1532;78;27.0;11.0;2.0;0.0;1;0;1;7
2013-01-07 16:10:42;2;3;66;536;26793;;550648;0;0;8;2013-02-20 00:00:00;2013-02-21 00:00:00;2;0;1;12603;5;1;1;2;50;365;4;43.0;1.0;2.0;2.0;1;0;1;7
2013-01-07 16:12:31;2;3;66;184;27733;904.5507;118142;0;0;9;2013-01-11 00:00:00;2013-01-12 00:00:00;2;0;1;4206;3;1;1;2;50;637;16;3.0;1.0;1.0;4.0;1;0;1;7
2013-01-07 16:22:46;2;3;66;174;21316;1704.5919;908447;0;0;9;2013-02-12 00:00:00;2013-02-13 00:00:00;2;0;2;53211;4;1;1;2;50;637;48;35.0;1.0;2.0;1.0;1;0;1;7
2013-01-07 16:24:47;2;3;66;174;21316;1704.5919;908447;0;0;9;2013-02-12 00:00:00;2013-02-13 00:00:00;1;0;1;53211;4;1;1;2;50;637;48;35.0;1.0;2.0;1.0;1;0;1;7
2013-01-07 17:04:19;11;3;205;135;36086;1034.6634;263045;0;1;0;2013-01-26 00:00:00;2013-01-31 00:00:00;2;0;1;8250;1;1;1;2;50;628;88;18.0;5.0;1.0;5.0;1;0;1;7
2013-01-07 17:07:16;2;3;66;462;49272;874.7298;598052;0;1;9;2013-01-17 00:00:00;2013-01-18 00:00:00;1;0;1;8250;1;1;1;2;50;628;1;9.0;1.0;1.0;3.0;1;0;1;7
2013-01-07 17:22:03;2;3;66;448;31350;1942.7529;140059;0;1;2;2013-06-29 00:00:00;2013-07-06 00:00:00;2;0;1;8250;1;1;1;2;50;628;1;172.0;7.0;6.0;5.0;1;0;1;7
2013-01-07 18:16:42;28;1;68;335;33929;;1042226;0;0;0;2013-03-19 00:00:00;2013-04-04 00:00:00;2;1;1;22930;1;1;1;4;45;2076;81;70.0;16.0;3.0;1.0;1;0;1;7
2013-01-07 18:19:11;2;3;66;220;1437;4.6706;76278;0;0;9;2013-01-13 00:00:00;2013-01-15 00:00:00;2;2;1;8268;1;1;1;2;50;682;3;5.0;2.0;1.0;6.0;1;0;1;7
2013-01-07 19:08:31;23;1;1;318;11509;;467350;0;1;1;2013-03-30 00:00:00;2013-04-02 00:00:00;2;0;1;8739;1;1;1;6;144;4;29;81.0;3.0;3.0;5.0;1;0;1;7
2013-01-07 19:39:25;2;3;66;315;7436;2581.0582;761108;1;0;3;2013-02-12 00:00:00;2013-02-13 00:00:00;1;1;1;8273;1;1;1;2;50;660;9;35.0;1.0;2.0;1.0;1;0;1;7
2013-01-07 21:25:33;2;3;66;174;26232;37.3738;96509;0;0;3;2013-01-10 00:00:00;2013-01-12 00:00:00;1;1;2;14985;1;1;1;2;50;1241;42;2.0;2.0;1.0;3.0;1;0;1;7
2013-01-07 21:39:36;11;3;205;354;53713;7762.6985;164103;0;0;9;2013-01-16 00:00:00;2013-01-18 00:00:00;1;0;1;268;1;1;1;3;99;1033;3;8.0;2.0;1.0;2.0;1;0;1;7
2013-01-07 21:44:43;2;3;66;448;18390;2215.2448;394231;0;0;9;2013-01-11 00:00:00;2013-01-12 00:00:00;1;0;1;25471;6;1;1;2;50;365;95;3.0;1.0;1.0;4.0;1;0;1;7
2013-01-08 02:45:17;37;1;69;582;49765;;452984;0;0;9;2013-02-08 00:00:00;2013-02-10 00:00:00;2;1;1;8253;1;1;1;6;70;19;13;30.0;2.0;2.0;4.0;1;1;1;8
2013-01-08 02:49:43;2;3;66;462;52482;876.4399;839406;0;0;9;2013-05-21 00:00:00;2013-05-22 00:00:00;2;1;1;42772;6;1;1;2;50;628;91;132.0;1.0;5.0;1.0;1;1;1;8
2013-01-08 07:12:04;2;3;66;314;11942;6.7572;201132;0;0;9;2013-01-08 00:00:00;2013-01-10 00:00:00;1;0;1;6693;3;1;1;2;50;191;48;-1.0;2.0;1.0;1.0;1;1;1;8
2013-01-08 07:49:05;2;3;66;321;47535;1296.0872;159016;0;0;9;2013-02-26 00:00:00;2013-02-27 00:00:00;1;1;1;8250;1;1;1;2;50;628;1;48.0;1.0;2.0;1.0;1;1;1;8
2013-01-08 07:51:13;2;3;66;321;47535;1296.0872;159016;0;0;9;2013-03-02 00:00:00;2013-03-03 00:00:00;1;1;1;8250;1;1;1;2;50;628;1;52.0;1.0;3.0;5.0;1;1;1;8
2013-01-08 08:42:25;40;3;66;174;46432;54.169;128860;0;0;9;2013-01-16 00:00:00;2013-01-18 00:00:00;2;0;1;24659;6;1;1;2;50;993;57;7.0;2.0;1.0;2.0;1;1;1;8
2013-01-08 09:10:27;34;3;205;354;25315;7821.0518;488882;0;0;9;2013-02-01 00:00:00;2013-02-03 00:00:00;2;0;1;4992;1;1;1;3;110;72;2;23.0;2.0;2.0;4.0;1;1;1;8
2013-01-08 09:10:28;2;3;66;174;44641;378.6399;176724;0;0;2;2013-01-28 00:00:00;2013-01-29 00:00:00;1;1;1;12494;5;1;1;2;50;1632;48;19.0;1.0;1.0;0.0;1;1;1;8
2013-01-08 09:31:28;2;3;66;174;1112;161.5315;559034;0;0;9;2013-03-08 00:00:00;2013-03-10 00:00:00;2;2;1;24377;6;1;1;2;50;627;18;58.0;2.0;3.0;4.0;1;1;1;8
2013-01-08 09:33:31;2;3;66;174;1112;161.5315;559034;0;0;9;2013-03-22 00:00:00;2013-03-24 00:00:00;2;2;1;24377;6;1;1;2;50;627;18;72.0;2.0;3.0;4.0;1;1;1;8
2013-01-08 11:13:00;2;3;66;318;22418;568.0582;1006919;0;0;9;2013-01-15 00:00:00;2013-01-17 00:00:00;1;0;1;5134;3;1;1;2;50;994;7;6.0;2.0;1.0;1.0;1;1;1;8
2013-01-08 11:27:18;37;1;69;761;41949;;821420;0;0;9;2013-01-26 00:00:00;2013-01-27 00:00:00;1;1;1;12579;5;1;1;5;203;254;25;17.0;1.0;1.0;5.0;1;1;1;8
2013-01-08 11:30:25;37;1;69;761;41949;;821420;0;0;9;2013-01-31 00:00:00;2013-02-01 00:00:00;1;1;1;12579;5;1;1;5;203;254;25;22.0;1.0;1.0;3.0;1;1;1;8
2013-01-08 11:53:48;2;3;162;13;34170;;808767;0;1;9;2013-04-11 00:00:00;2013-04-17 00:00:00;2;2;1;5405;6;1;1;4;8;126;66;92.0;6.0;4.0;3.0;1;1;1;8
2013-01-08 12:22:30;2;3;66;352;30279;100.6172;395688;0;0;1;2013-02-01 00:00:00;2013-02-02 00:00:00;2;0;1;11647;1;1;1;2;50;910;42;23.0;1.0;2.0;4.0;1;1;1;8
2013-01-08 12:28:53;8;4;66;363;2495;2261.149;447605;1;0;2;2013-01-13 00:00:00;2013-01-18 00:00:00;2;0;1;8279;1;1;1;2;50;1230;37;4.0;5.0;1.0;6.0;1;1;1;8
2013-01-08 12:30:50;2;3;66;174;44641;577.9973;176724;0;0;9;2013-01-28 00:00:00;2013-01-30 00:00:00;1;1;1;44311;6;1;1;2;50;661;94;19.0;2.0;1.0;0.0;1;1;1;8
2013-01-08 13:25:37;2;3;66;331;40794;424.1122;350185;0;1;9;2013-02-09 00:00:00;2013-02-13 00:00:00;2;0;2;8267;1;1;1;2;50;675;77;31.0;4.0;2.0;5.0;1;1;1;8
2013-01-08 13:30:06;2;3;66;153;20706;1462.0446;666715;0;0;1;2013-01-13 00:00:00;2013-01-14 00:00:00;1;0;1;11812;1;1;1;2;50;538;2;4.0;1.0;1.0;6.0;1;1;1;8
2013-01-08 14:59:30;27;2;167;51;11261;;1024742;0;0;5;2013-02-12 00:00:00;2013-02-15 00:00:00;2;1;1;19371;6;1;1;3;168;1242;38;34.0;3.0;2.0;1.0;1;1;1;8
2013-01-08 15:06:19;37;1;66;356;113;4575.5821;820066;0;0;9;2013-02-07 00:00:00;2013-02-08 00:00:00;1;1;1;12287;5;1;1;6;70;762;61;29.0;1.0;2.0;3.0;1;1;1;8
2013-01-08 15:16:25;37;1;69;761;41949;;743612;0;1;1;2013-02-22 00:00:00;2013-02-25 00:00:00;2;0;1;8267;1;1;1;2;50;675;56;44.0;3.0;2.0;4.0;1;1;1;8
2013-01-08 15:22:55;37;1;66;356;113;5350.5099;820066;0;1;9;2013-01-27 00:00:00;2013-01-28 00:00:00;1;0;1;20994;1;1;1;6;46;1089;89;18.0;1.0;1.0;6.0;1;1;1;8
2013-01-08 15:42:22;2;3;66;351;39058;701.1392;154806;0;0;9;2013-01-22 00:00:00;2013-01-23 00:00:00;2;0;1;12652;5;1;1;2;50;192;11;13.0;1.0;1.0;1.0;1;1;1;8
2013-01-08 16:12:26;2;3;66;246;41415;;1044399;0;0;9;2013-04-21 00:00:00;2013-04-26 00:00:00;2;0;1;20324;6;1;1;3;126;232;81;102.0;5.0;4.0;6.0;1;1;1;8
2013-01-08 16:26:33;37;1;69;761;41949;;821420;0;0;9;2013-01-27 00:00:00;2013-01-31 00:00:00;1;1;1;16070;5;1;1;5;39;803;78;18.0;4.0;1.0;6.0;1;1;1;8
2013-01-08 16:30:54;37;1;69;761;41949;;821420;0;0;9;2013-01-27 00:00:00;2013-01-31 00:00:00;1;1;1;559;3;1;1;5;39;803;78;18.0;4.0;1.0;6.0;1;1;1;8
2013-01-08 18:03:48;2;3;66;442;14427;698.7289;908343;0;1;9;2013-02-21 00:00:00;2013-02-26 00:00:00;1;0;1;12003;1;1;1;2;50;654;2;43.0;5.0;2.0;3.0;1;1;1;8
2013-01-08 18:25:10;2;3;66;174;48113;2815.6109;290016;0;1;0;2013-06-25 00:00:00;2013-07-02 00:00:00;3;2;2;8864;1;1;1;4;47;1508;65;167.0;7.0;6.0;1.0;1;1;1;8
2013-01-08 19:46:56;2;3;66;348;22490;;687872;0;1;9;2013-02-07 00:00:00;2013-02-10 00:00:00;2;0;1;8279;1;1;1;2;50;1230;19;29.0;3.0;2.0;3.0;1;1;1;8
2013-01-08 22:37:16;37;1;69;761;41949;;765637;1;0;9;2013-02-10 00:00:00;2013-02-11 00:00:00;2;0;1;12894;5;1;1;6;11;273;25;32.0;1.0;2.0;6.0;1;1;1;8
2013-01-08 22:40:16;37;1;69;761;41949;;765637;1;0;9;2013-02-10 00:00:00;2013-02-11 00:00:00;2;0;1;1661;3;1;1;6;11;273;25;32.0;1.0;2.0;6.0;1;1;1;8
2013-01-08 23:58:10;28;1;68;335;10564;;979632;0;1;9;2013-05-24 00:00:00;2013-05-27 00:00:00;1;0;1;55701;6;1;1;6;21;32;30;135.0;3.0;5.0;4.0;1;1;1;8
2013-01-09 01:23:46;2;3;66;462;52482;873.4571;839406;0;1;9;2013-05-28 00:00:00;2013-06-01 00:00:00;2;0;1;8250;1;1;1;2;50;628;1;138.0;4.0;5.0;1.0;1;2;1;9
2013-01-09 08:21:45;37;1;66;356;113;5350.5099;820066;0;0;9;2013-01-28 00:00:00;2013-01-29 00:00:00;1;1;1;20994;1;1;1;6;46;1089;89;18.0;1.0;1.0;0.0;1;2;1;9
2013-01-09 08:45:04;2;3;66;348;48862;2006.2222;346996;0;1;9;2013-02-18 00:00:00;2013-02-24 00:00:00;1;0;1;11435;1;1;1;4;67;203;63;39.0;6.0;2.0;0.0;1;2;1;9
